video_id,clip_id,start,end,start_in_seconds,end_in_seconds
gcJcuJbgwpc,gcJcuJbgwpc.0000733.0000737,00:12:13.765,00:12:17.531,733,737
QADxexJoSsw,QADxexJoSsw.0008358.0008362,02:19:18.622,02:19:22.368,8358,8362
K_Vx-cEz2NQ,K_Vx-cEz2NQ.0001410.0001411,00:23:30.708,00:23:31.708,1410,1411
Xxtr9I7_f-A,Xxtr9I7_f-A.0000790.0000791,00:13:10.208,00:13:11.794,790,791
feNHhNBUVCs,feNHhNBUVCs.0003730.0003737,01:02:10.909,01:02:17.663,3730,3737
_FOADk4DxxE,_FOADk4DxxE.0007019.0007020,01:56:59.318,01:57:00.332,7019,7020
83ONgJZRLeo,83ONgJZRLeo.0000805.0000807,00:13:25.480,00:13:27.920,805,807
o9ZYUzE3HPI,o9ZYUzE3HPI.0007610.0007612,02:06:50.794,02:06:52.824,7610,7612
7xB0i4Uu-P0,7xB0i4Uu-P0.0005700.0005702,01:35:00.907,01:35:02.974,5700,5702
K_Vx-cEz2NQ,K_Vx-cEz2NQ.0000762.0000763,00:12:42.038,00:12:43.782,762,763
5R3gWy6I51w,5R3gWy6I51w.0000427.0000429,00:07:07.079,00:07:09.643,427,429
3l3Td3160YY,3l3Td3160YY.0001638.0001641,00:27:18.698,00:27:21.214,1638,1641
uuIDf4FhSJM,uuIDf4FhSJM.0004630.0004633,01:17:10.146,01:17:13.951,4630,4633
afSAdZJVWLw,afSAdZJVWLw.0004375.0004376,01:12:55.903,01:12:56.903,4375,4376
QADxexJoSsw,QADxexJoSsw.0005873.0005876,01:37:53.584,01:37:56.720,5873,5876
V_CZQO9t7zc,V_CZQO9t7zc.0003125.0003127,00:52:05.681,00:52:07.121,3125,3127
5R3gWy6I51w,5R3gWy6I51w.0001982.0001984,00:33:02.936,00:33:04.190,1982,1984
_FOADk4DxxE,_FOADk4DxxE.0007058.0007063,01:57:38.069,01:57:43.251,7058,7063
OTOYCPFQIuc,OTOYCPFQIuc.0001566.0001567,00:26:06.500,00:26:07.940,1566,1567
hxxt8_rohP8,hxxt8_rohP8.0007460.0007463,02:04:20.887,02:04:23.079,7460,7463
WRkpK8UiefU,WRkpK8UiefU.0001910.0001916,00:31:50.307,00:31:56.310,1910,1916
CoZExE8PoEY,CoZExE8PoEY.0008440.0008449,02:20:40.027,02:20:49.308,8440,8449
IA0M6eVeztw,IA0M6eVeztw.0009653.0009655,02:40:53.841,02:40:55.306,9653,9655
V_CZQO9t7zc,V_CZQO9t7zc.0004230.0004235,01:10:30.740,01:10:35.107,4230,4235
afSAdZJVWLw,afSAdZJVWLw.0006039.0006043,01:40:39.740,01:40:43.349,6039,6043
0kh9YDq5k4I,0kh9YDq5k4I.0006993.0006994,01:56:33.675,01:56:34.675,6993,6994
hstmS61E88E,hstmS61E88E.0002580.0002582,00:43:00.025,00:43:02.564,2580,2582
gcJcuJbgwpc,gcJcuJbgwpc.0006413.0006415,01:46:53.321,01:46:55.649,6413,6415
hEuuTV-5KfM,hEuuTV-5KfM.0007814.0007815,02:10:14.220,02:10:15.580,7814,7815
hstmS61E88E,hstmS61E88E.0002961.0002962,00:49:21.322,00:49:22.688,2961,2962
0kh9YDq5k4I,0kh9YDq5k4I.0006221.0006223,01:43:41.656,01:43:43.315,6221,6223
r07CJtYwcLA,r07CJtYwcLA.0002122.0002125,00:35:22.863,00:35:25.639,2122,2125
_FOADk4DxxE,_FOADk4DxxE.0006705.0006708,01:51:45.829,01:51:48.230,6705,6708
K_Vx-cEz2NQ,K_Vx-cEz2NQ.0000494.0000497,00:08:14.381,00:08:17.547,494,497
wlKmvZGc98w,wlKmvZGc98w.0004473.0004475,01:14:33.712,01:14:35.392,4473,4475
_FOADk4DxxE,_FOADk4DxxE.0002485.0002487,00:41:25.621,00:41:27.301,2485,2487
MYlPtj-qX8g,MYlPtj-qX8g.0001359.0001362,00:22:39.702,00:22:42.036,1359,1362
7xB0i4Uu-P0,7xB0i4Uu-P0.0006804.0006807,01:53:24.611,01:53:27.263,6804,6807
_FOADk4DxxE,_FOADk4DxxE.0002590.0002593,00:43:10.632,00:43:13.169,2590,2593
QADxexJoSsw,QADxexJoSsw.0004002.0004007,01:06:42.304,01:06:47.741,4002,4007
gcJcuJbgwpc,gcJcuJbgwpc.0007375.0007380,02:02:55.599,02:03:00.348,7375,7380
IA0M6eVeztw,IA0M6eVeztw.0004094.0004096,01:08:14.187,01:08:16.187,4094,4096
Vci7IZ5j4i8,Vci7IZ5j4i8.0003538.0003540,00:58:58.297,00:59:00.373,3538,3540
7xB0i4Uu-P0,7xB0i4Uu-P0.0004398.0004399,01:13:18.129,01:13:19.181,4398,4399
OTOYCPFQIuc,OTOYCPFQIuc.0004760.0004763,01:19:20.671,01:19:23.350,4760,4763
hxxt8_rohP8,hxxt8_rohP8.0000394.0000395,00:06:34.521,00:06:35.927,394,395
uSECKtbM0Zg,uSECKtbM0Zg.0000113.0000114,00:01:53.491,00:01:54.804,113,114
Vci7IZ5j4i8,Vci7IZ5j4i8.0004499.0004500,01:14:59.733,01:15:00.733,4499,4500
IA0M6eVeztw,IA0M6eVeztw.0006909.0006910,01:55:09.315,01:55:10.925,6909,6910
gcJcuJbgwpc,gcJcuJbgwpc.0001068.0001071,00:17:48.614,00:17:51.987,1068,1071
gcJcuJbgwpc,gcJcuJbgwpc.0006843.0006845,01:54:03.902,01:54:05.199,6843,6845
uSECKtbM0Zg,uSECKtbM0Zg.0007405.0007407,02:03:25.010,02:03:27.198,7405,7407
IA0M6eVeztw,IA0M6eVeztw.0008176.0008178,02:16:16.276,02:16:18.105,8176,8178
w4KmXnb-NtM,w4KmXnb-NtM.0008029.0008030,02:13:49.243,02:13:50.243,8029,8030
uSECKtbM0Zg,uSECKtbM0Zg.0008804.0008812,02:26:44.855,02:26:52.201,8804,8812
uSECKtbM0Zg,uSECKtbM0Zg.0000029.0000035,00:00:29.437,00:00:35.063,29,35
o9ZYUzE3HPI,o9ZYUzE3HPI.0000576.0000577,00:09:36.030,00:09:37.030,576,577
o9ZYUzE3HPI,o9ZYUzE3HPI.0004374.0004376,01:12:54.989,01:12:56.349,4374,4376
7xB0i4Uu-P0,7xB0i4Uu-P0.0007148.0007150,01:59:08.596,01:59:10.985,7148,7150
_FOADk4DxxE,_FOADk4DxxE.0002777.0002778,00:46:17.922,00:46:18.922,2777,2778
r07CJtYwcLA,r07CJtYwcLA.0001807.0001810,00:30:07.461,00:30:10.461,1807,1810
gcJcuJbgwpc,gcJcuJbgwpc.0006949.0006950,01:55:49.402,01:55:50.402,6949,6950
_FOADk4DxxE,_FOADk4DxxE.0000057.0000059,00:00:57.090,00:00:59.206,57,59
r07CJtYwcLA,r07CJtYwcLA.0000525.0000527,00:08:45.800,00:08:47.934,525,527
OTOYCPFQIuc,OTOYCPFQIuc.0001779.0001785,00:29:39.685,00:29:45.532,1779,1785
7xB0i4Uu-P0,7xB0i4Uu-P0.0002997.0002999,00:49:57.767,00:49:59.567,2997,2999
wlKmvZGc98w,wlKmvZGc98w.0008234.0008236,02:17:14.598,02:17:16.118,8234,8236
d82Fpa8LRc0,d82Fpa8LRc0.0002884.0002886,00:48:04.542,00:48:06.761,2884,2886
w4KmXnb-NtM,w4KmXnb-NtM.0006826.0006827,01:53:46.404,01:53:47.524,6826,6827
uSECKtbM0Zg,uSECKtbM0Zg.0001832.0001835,00:30:32.297,00:30:35.421,1832,1835
w4KmXnb-NtM,w4KmXnb-NtM.0000136.0000137,00:02:16.266,00:02:17.296,136,137
8eAfanM6EWo,8eAfanM6EWo.0006004.0006006,01:40:04.283,01:40:06.511,6004,6006
OTOYCPFQIuc,OTOYCPFQIuc.0002343.0002345,00:39:03.254,00:39:05.921,2343,2345
hEuuTV-5KfM,hEuuTV-5KfM.0001117.0001120,00:18:37.366,00:18:40.198,1117,1120
CoZExE8PoEY,CoZExE8PoEY.0003392.0003394,00:56:32.639,00:56:34.217,3392,3394
5R3gWy6I51w,5R3gWy6I51w.0002043.0002046,00:34:03.992,00:34:06.222,2043,2046
hstmS61E88E,hstmS61E88E.0004297.0004299,01:11:37.203,01:11:39.687,4297,4299
Xxtr9I7_f-A,Xxtr9I7_f-A.0005104.0005105,01:25:04.510,01:25:05.954,5104,5105
OTOYCPFQIuc,OTOYCPFQIuc.0002648.0002649,00:44:08.201,00:44:09.881,2648,2649
3l3Td3160YY,3l3Td3160YY.0003914.0003915,01:05:14.260,01:05:15.260,3914,3915
QADxexJoSsw,QADxexJoSsw.0006733.0006740,01:52:13.983,01:52:20.600,6733,6740
o9ZYUzE3HPI,o9ZYUzE3HPI.0001741.0001743,00:29:01.816,00:29:03.016,1741,1743
_FOADk4DxxE,_FOADk4DxxE.0004287.0004293,01:11:27.005,01:11:33.674,4287,4293
hEuuTV-5KfM,hEuuTV-5KfM.0000042.0000043,00:00:42.478,00:00:43.680,42,43
hstmS61E88E,hstmS61E88E.0003527.0003529,00:58:47.510,00:58:49.197,3527,3529
V_CZQO9t7zc,V_CZQO9t7zc.0001521.0001524,00:25:21.352,00:25:24.808,1521,1524
zpHP6xF0T3E,zpHP6xF0T3E.0000247.0000249,00:04:07.376,00:04:09.776,247,249
d82Fpa8LRc0,d82Fpa8LRc0.0002434.0002437,00:40:34.291,00:40:37.560,2434,2437
wlKmvZGc98w,wlKmvZGc98w.0007330.0007332,02:02:10.980,02:02:12.580,7330,7332
7xB0i4Uu-P0,7xB0i4Uu-P0.0005925.0005926,01:38:45.267,01:38:46.787,5925,5926
d82Fpa8LRc0,d82Fpa8LRc0.0003497.0003499,00:58:17.341,00:58:19.529,3497,3499
Y__7d2508Zk,Y__7d2508Zk.0000770.0000773,00:12:50.897,00:12:53.459,770,773
aHe4Mr-B2es,aHe4Mr-B2es.0008753.0008756,02:25:53.944,02:25:56.139,8753,8756
I5AtsqvLyeQ,I5AtsqvLyeQ.0006188.0006189,01:43:08.241,01:43:09.241,6188,6189
afSAdZJVWLw,afSAdZJVWLw.0005278.0005279,01:27:58.519,01:27:59.639,5278,5279
8eAfanM6EWo,8eAfanM6EWo.0003372.0003374,00:56:12.263,00:56:14.663,3372,3374
afSAdZJVWLw,afSAdZJVWLw.0003790.0003792,01:03:10.817,01:03:12.257,3790,3792
wlKmvZGc98w,wlKmvZGc98w.0002289.0002291,00:38:09.900,00:38:11.020,2289,2291
_FOADk4DxxE,_FOADk4DxxE.0007230.0007231,02:00:30.277,02:00:31.680,7230,7231
d82Fpa8LRc0,d82Fpa8LRc0.0003492.0003494,00:58:12.445,00:58:14.849,3492,3494
_FOADk4DxxE,_FOADk4DxxE.0006368.0006379,01:46:08.228,01:46:19.790,6368,6379
IA0M6eVeztw,IA0M6eVeztw.0006001.0006002,01:40:01.075,01:40:02.075,6001,6002
aHe4Mr-B2es,aHe4Mr-B2es.0004401.0004403,01:13:21.784,01:13:23.666,4401,4403
7xB0i4Uu-P0,7xB0i4Uu-P0.0004890.0004892,01:21:30.736,01:21:32.176,4890,4892
V_CZQO9t7zc,V_CZQO9t7zc.0000294.0000297,00:04:54.658,00:04:57.256,294,297
5R3gWy6I51w,5R3gWy6I51w.0002364.0002366,00:39:24.624,00:39:26.410,2364,2366
w4KmXnb-NtM,w4KmXnb-NtM.0007332.0007333,02:02:12.296,02:02:13.346,7332,7333
hEuuTV-5KfM,hEuuTV-5KfM.0008308.0008311,02:18:28.340,02:18:31.293,8308,8311
r07CJtYwcLA,r07CJtYwcLA.0002760.0002761,00:46:00.320,00:46:01.344,2760,2761
I5AtsqvLyeQ,I5AtsqvLyeQ.0004921.0004922,01:22:01.283,01:22:02.695,4921,4922
I5AtsqvLyeQ,I5AtsqvLyeQ.0000468.0000470,00:07:48.768,00:07:50.545,468,470
o9ZYUzE3HPI,o9ZYUzE3HPI.0000809.0000810,00:13:29.461,00:13:30.461,809,810
hEuuTV-5KfM,hEuuTV-5KfM.0004050.0004053,01:07:30.272,01:07:33.172,4050,4053
afSAdZJVWLw,afSAdZJVWLw.0005553.0005554,01:32:33.700,01:32:34.900,5553,5554
7xB0i4Uu-P0,7xB0i4Uu-P0.0004201.0004203,01:10:01.601,01:10:03.201,4201,4203
gcJcuJbgwpc,gcJcuJbgwpc.0004475.0004481,01:14:35.794,01:14:41.228,4475,4481
I5AtsqvLyeQ,I5AtsqvLyeQ.0004629.0004630,01:17:09.778,01:17:10.778,4629,4630
afSAdZJVWLw,afSAdZJVWLw.0004866.0004870,01:21:06.420,01:21:10.381,4866,4870
w4KmXnb-NtM,w4KmXnb-NtM.0005954.0005956,01:39:14.172,01:39:16.313,5954,5956
IA0M6eVeztw,IA0M6eVeztw.0007481.0007483,02:04:41.654,02:04:43.260,7481,7483
w4KmXnb-NtM,w4KmXnb-NtM.0008004.0008005,02:13:24.581,02:13:25.581,8004,8005
0kh9YDq5k4I,0kh9YDq5k4I.0003668.0003669,01:01:08.368,01:01:09.630,3668,3669
Y__7d2508Zk,Y__7d2508Zk.0000458.0000460,00:07:38.774,00:07:40.555,458,460
I5AtsqvLyeQ,I5AtsqvLyeQ.0005715.0005717,01:35:15.876,01:35:17.281,5715,5717
o9ZYUzE3HPI,o9ZYUzE3HPI.0004559.0004569,01:15:59.172,01:16:09.601,4559,4569
uuIDf4FhSJM,uuIDf4FhSJM.0005534.0005537,01:32:14.059,01:32:17.221,5534,5537
gcJcuJbgwpc,gcJcuJbgwpc.0007523.0007526,02:05:23.864,02:05:26.068,7523,7526
_FOADk4DxxE,_FOADk4DxxE.0000375.0000381,00:06:15.718,00:06:21.123,375,381
w4KmXnb-NtM,w4KmXnb-NtM.0003835.0003836,01:03:55.499,01:03:56.499,3835,3836
7sQRKPFJ6gg,7sQRKPFJ6gg.0008606.0008608,02:23:26.815,02:23:28.682,8606,8608
w4KmXnb-NtM,w4KmXnb-NtM.0008116.0008117,02:15:16.374,02:15:17.558,8116,8117
_FOADk4DxxE,_FOADk4DxxE.0007262.0007264,02:01:02.100,02:01:04.981,7262,7264
o9ZYUzE3HPI,o9ZYUzE3HPI.0008532.0008534,02:22:12.162,02:22:14.229,8532,8534
Vci7IZ5j4i8,Vci7IZ5j4i8.0007902.0007904,02:11:42.662,02:11:44.302,7902,7904
Xxtr9I7_f-A,Xxtr9I7_f-A.0007876.0007879,02:11:16.865,02:11:19.770,7876,7879
w4KmXnb-NtM,w4KmXnb-NtM.0004394.0004396,01:13:14.647,01:13:16.266,4394,4396
0kh9YDq5k4I,0kh9YDq5k4I.0002161.0002166,00:36:01.007,00:36:06.320,2161,2166
uuIDf4FhSJM,uuIDf4FhSJM.0007359.0007360,02:02:39.304,02:02:40.374,7359,7360
w4KmXnb-NtM,w4KmXnb-NtM.0006335.0006336,01:45:35.258,01:45:36.258,6335,6336
hstmS61E88E,hstmS61E88E.0005228.0005232,01:27:08.651,01:27:12.479,5228,5232
MYlPtj-qX8g,MYlPtj-qX8g.0002551.0002555,00:42:31.756,00:42:35.912,2551,2555
I5AtsqvLyeQ,I5AtsqvLyeQ.0008324.0008326,02:18:44.718,02:18:46.282,8324,8326
uSECKtbM0Zg,uSECKtbM0Zg.0005542.0005545,01:32:22.274,01:32:25.074,5542,5545
K_Vx-cEz2NQ,K_Vx-cEz2NQ.0002591.0002593,00:43:11.975,00:43:13.404,2591,2593
afSAdZJVWLw,afSAdZJVWLw.0000385.0000386,00:06:25.074,00:06:26.074,385,386
QADxexJoSsw,QADxexJoSsw.0003868.0003871,01:04:28.880,01:04:31.013,3868,3871
OTOYCPFQIuc,OTOYCPFQIuc.0006172.0006173,01:42:52.558,01:42:53.558,6172,6173
OTOYCPFQIuc,OTOYCPFQIuc.0009065.0009066,02:31:05.020,02:31:06.020,9065,9066
hxxt8_rohP8,hxxt8_rohP8.0000492.0000493,00:08:12.482,00:08:13.529,492,493
gcJcuJbgwpc,gcJcuJbgwpc.0001033.0001034,00:17:13.455,00:17:14.575,1033,1034
K_Vx-cEz2NQ,K_Vx-cEz2NQ.0001624.0001625,00:27:04.205,00:27:05.669,1624,1625
I5AtsqvLyeQ,I5AtsqvLyeQ.0000732.0000733,00:12:12.019,00:12:13.019,732,733
w4KmXnb-NtM,w4KmXnb-NtM.0000433.0000435,00:07:13.832,00:07:15.894,433,435
OTOYCPFQIuc,OTOYCPFQIuc.0006415.0006416,01:46:55.505,01:46:56.505,6415,6416
hstmS61E88E,hstmS61E88E.0004982.0004984,01:23:02.444,01:23:04.999,4982,4984
0kh9YDq5k4I,0kh9YDq5k4I.0007112.0007113,01:58:32.021,01:58:33.653,7112,7113
7xB0i4Uu-P0,7xB0i4Uu-P0.0006788.0006790,01:53:08.803,01:53:10.857,6788,6790
w4KmXnb-NtM,w4KmXnb-NtM.0005443.0005444,01:30:43.236,01:30:44.430,5443,5444
_FOADk4DxxE,_FOADk4DxxE.0007366.0007373,02:02:46.564,02:02:53.088,7366,7373
afSAdZJVWLw,afSAdZJVWLw.0002556.0002558,00:42:36.703,00:42:38.223,2556,2558
3l3Td3160YY,3l3Td3160YY.0001665.0001668,00:27:45.461,00:27:48.516,1665,1668
I5AtsqvLyeQ,I5AtsqvLyeQ.0004139.0004141,01:08:59.429,01:09:01.303,4139,4141
hstmS61E88E,hstmS61E88E.0000507.0000509,00:08:27.133,00:08:29.533,507,509
gcJcuJbgwpc,gcJcuJbgwpc.0007194.0007197,01:59:54.710,01:59:57.610,7194,7197
IA0M6eVeztw,IA0M6eVeztw.0007196.0007197,01:59:56.360,01:59:57.972,7196,7197
0kh9YDq5k4I,0kh9YDq5k4I.0001577.0001581,00:26:17.421,00:26:21.773,1577,1581
I5AtsqvLyeQ,I5AtsqvLyeQ.0005152.0005153,01:25:52.560,01:25:53.560,5152,5153
upMQIOZWOIs,upMQIOZWOIs.0001353.0001354,00:22:33.224,00:22:34.370,1353,1354
0kh9YDq5k4I,0kh9YDq5k4I.0005966.0005968,01:39:26.098,01:39:28.542,5966,5968
CoZExE8PoEY,CoZExE8PoEY.0000655.0000657,00:10:55.418,00:10:57.605,655,657
d82Fpa8LRc0,d82Fpa8LRc0.0002396.0002403,00:39:56.947,00:40:03.982,2396,2403
V_CZQO9t7zc,V_CZQO9t7zc.0004621.0004623,01:17:01.505,01:17:03.699,4621,4623
hstmS61E88E,hstmS61E88E.0001698.0001699,00:28:18.628,00:28:19.893,1698,1699
gcJcuJbgwpc,gcJcuJbgwpc.0009141.0009149,02:32:21.660,02:32:29.279,9141,9149
K_Vx-cEz2NQ,K_Vx-cEz2NQ.0001545.0001548,00:25:45.574,00:25:48.108,1545,1548
_FOADk4DxxE,_FOADk4DxxE.0007608.0007610,02:06:48.743,02:06:50.783,7608,7610
hstmS61E88E,hstmS61E88E.0004254.0004255,01:10:54.391,01:10:55.391,4254,4255
aHe4Mr-B2es,aHe4Mr-B2es.0008731.0008736,02:25:31.796,02:25:36.186,8731,8736
3l3Td3160YY,3l3Td3160YY.0001222.0001225,00:20:22.632,00:20:25.163,1222,1225
hxxt8_rohP8,hxxt8_rohP8.0003927.0003929,01:05:27.997,01:05:29.214,3927,3929
o9ZYUzE3HPI,o9ZYUzE3HPI.0001034.0001036,00:17:14.719,00:17:16.560,1034,1036
OTOYCPFQIuc,OTOYCPFQIuc.0000345.0000346,00:05:45.468,00:05:46.908,345,346
7sQRKPFJ6gg,7sQRKPFJ6gg.0004783.0004787,01:19:43.040,01:19:47.160,4783,4787
CoZExE8PoEY,CoZExE8PoEY.0008158.0008160,02:15:58.888,02:16:00.403,8158,8160
uSECKtbM0Zg,uSECKtbM0Zg.0002312.0002321,00:38:32.685,00:38:41.715,2312,2321
upMQIOZWOIs,upMQIOZWOIs.0002745.0002747,00:45:45.107,00:45:47.348,2745,2747
Eu2eOScw7Og,Eu2eOScw7Og.0000294.0000296,00:04:54.256,00:04:56.498,294,296
uuIDf4FhSJM,uuIDf4FhSJM.0004732.0004733,01:18:52.403,01:18:53.509,4732,4733
upMQIOZWOIs,upMQIOZWOIs.0003181.0003183,00:53:01.557,00:53:03.533,3181,3183
Xxtr9I7_f-A,Xxtr9I7_f-A.0006707.0006710,01:51:47.076,01:51:50.601,6707,6710
_FOADk4DxxE,_FOADk4DxxE.0004236.0004241,01:10:36.752,01:10:41.009,4236,4241
uuIDf4FhSJM,uuIDf4FhSJM.0005639.0005643,01:33:59.463,01:34:03.724,5639,5643
aHe4Mr-B2es,aHe4Mr-B2es.0005012.0005014,01:23:32.040,01:23:34.805,5012,5014
QADxexJoSsw,QADxexJoSsw.0006025.0006029,01:40:25.839,01:40:29.295,6025,6029
IA0M6eVeztw,IA0M6eVeztw.0009068.0009070,02:31:08.610,02:31:10.076,9068,9070
hxxt8_rohP8,hxxt8_rohP8.0005291.0005293,01:28:11.960,01:28:13.339,5291,5293
I5AtsqvLyeQ,I5AtsqvLyeQ.0000434.0000436,00:07:14.977,00:07:16.404,434,436
Eu2eOScw7Og,Eu2eOScw7Og.0000233.0000237,00:03:53.907,00:03:57.969,233,237
w4KmXnb-NtM,w4KmXnb-NtM.0002151.0002152,00:35:51.720,00:35:52.720,2151,2152
OTOYCPFQIuc,OTOYCPFQIuc.0003126.0003132,00:52:06.185,00:52:12.857,3126,3132
3l3Td3160YY,3l3Td3160YY.0002017.0002019,00:33:37.925,00:33:39.839,2017,2019
7sQRKPFJ6gg,7sQRKPFJ6gg.0006262.0006263,01:44:22.067,01:44:23.350,6262,6263
afSAdZJVWLw,afSAdZJVWLw.0001050.0001052,00:17:30.280,00:17:32.672,1050,1052
o9ZYUzE3HPI,o9ZYUzE3HPI.0009364.0009366,02:36:04.611,02:36:06.198,9364,9366
uuIDf4FhSJM,uuIDf4FhSJM.0006530.0006533,01:48:50.636,01:48:53.577,6530,6533
OTOYCPFQIuc,OTOYCPFQIuc.0002261.0002263,00:37:41.432,00:37:43.112,2261,2263
7sQRKPFJ6gg,7sQRKPFJ6gg.0005590.0005591,01:33:10.409,01:33:11.929,5590,5591
Vci7IZ5j4i8,Vci7IZ5j4i8.0005574.0005577,01:32:54.966,01:32:57.209,5574,5577
I5AtsqvLyeQ,I5AtsqvLyeQ.0005416.0005418,01:30:16.130,01:30:18.737,5416,5418
7sQRKPFJ6gg,7sQRKPFJ6gg.0000282.0000287,00:04:42.428,00:04:47.051,282,287
hxxt8_rohP8,hxxt8_rohP8.0006725.0006728,01:52:05.601,01:52:08.567,6725,6728
nugB_f8-Bxc,nugB_f8-Bxc.0004978.0004980,01:22:58.812,01:23:00.447,4978,4980
Xxtr9I7_f-A,Xxtr9I7_f-A.0005371.0005373,01:29:31.703,01:29:33.029,5371,5373
w4KmXnb-NtM,w4KmXnb-NtM.0004282.0004283,01:11:22.377,01:11:23.377,4282,4283
r07CJtYwcLA,r07CJtYwcLA.0002542.0002544,00:42:22.975,00:42:24.832,2542,2544
I5AtsqvLyeQ,I5AtsqvLyeQ.0006776.0006777,01:52:56.928,01:52:57.928,6776,6777
zpHP6xF0T3E,zpHP6xF0T3E.0000536.0000538,00:08:56.429,00:08:58.162,536,538
3l3Td3160YY,3l3Td3160YY.0003174.0003176,00:52:54.983,00:52:56.347,3174,3176
7xB0i4Uu-P0,7xB0i4Uu-P0.0002726.0002727,00:45:26.150,00:45:27.150,2726,2727
hstmS61E88E,hstmS61E88E.0002099.0002100,00:34:59.352,00:35:00.570,2099,2100
8eAfanM6EWo,8eAfanM6EWo.0004523.0004525,01:15:23.710,01:15:25.390,4523,4525
0kh9YDq5k4I,0kh9YDq5k4I.0001093.0001096,00:18:13.985,00:18:16.312,1093,1096
uuIDf4FhSJM,uuIDf4FhSJM.0006310.0006312,01:45:10.337,01:45:12.958,6310,6312
w4KmXnb-NtM,w4KmXnb-NtM.0003333.0003335,00:55:33.631,00:55:35.089,3333,3335
7sQRKPFJ6gg,7sQRKPFJ6gg.0008339.0008343,02:18:59.900,02:19:03.855,8339,8343
QADxexJoSsw,QADxexJoSsw.0004579.0004582,01:16:19.943,01:16:22.543,4579,4582
_FOADk4DxxE,_FOADk4DxxE.0007399.0007407,02:03:19.459,02:03:27.580,7399,7407
k_I6Uv8L1jU,k_I6Uv8L1jU.0002253.0002258,00:37:33.207,00:37:38.181,2253,2258
_FOADk4DxxE,_FOADk4DxxE.0005507.0005512,01:31:47.349,01:31:52.399,5507,5512
wlKmvZGc98w,wlKmvZGc98w.0003334.0003335,00:55:34.980,00:55:35.980,3334,3335
8eAfanM6EWo,8eAfanM6EWo.0002333.0002334,00:38:53.157,00:38:54.157,2333,2334
_FOADk4DxxE,_FOADk4DxxE.0004260.0004261,01:11:00.530,01:11:01.970,4260,4261
d82Fpa8LRc0,d82Fpa8LRc0.0001921.0001922,00:32:01.483,00:32:02.744,1921,1922
